x,y
5.5408,1.4585
5.5405,1.3497
5.5402,1.2807
5.5400,1.2117
5.5397,1.1319
5.5394,1.0520
5.5391,0.9721
5.5389,0.8922
5.5386,0.8673
5.5383,0.8425
5.5380,0.7664
5.5378,0.7813
5.5375,0.8238
5.5372,0.8663
5.5369,0.9543
5.5367,1.1334
5.5364,1.2783
5.5361,1.4232
5.5358,1.6649
5.5356,1.9065
5.5353,2.0757
5.5350,2.2448
5.5347,2.3038
5.5345,2.2719
5.5342,2.1526
5.5339,1.8816
5.5336,1.6390
5.5334,1.4875
5.5331,1.3114
5.5328,1.1352
5.5325,1.0046
5.5323,0.9650
5.5320,0.9254
5.5317,0.8859
5.5314,0.9430
5.5312,1.0002
5.5309,1.1185
5.5306,1.2367
5.5303,1.2639
5.5301,1.2911
5.5298,1.3315
5.5295,1.3720
5.5292,1.4124
5.5290,1.4529
5.5287,1.4452
5.5284,1.4376
5.5281,1.3388
5.5279,1.2401
5.5276,1.2068
5.5273,1.1735
5.5270,1.0947
5.5268,1.0159
5.5265,0.9393
5.5262,0.8627
5.5259,0.7861
5.5257,0.7095
5.5254,0.6889
5.5251,0.6682
5.5248,0.6476
5.5246,0.6270
5.5243,0.6089
5.5240,0.5909
5.5237,0.6640
5.5235,0.7370
5.5232,0.8755
5.5229,1.0140
5.5226,1.0614
5.5224,1.1088
5.5221,1.0689
5.5218,1.0289
5.5215,0.9434
5.5213,0.8579
5.5210,0.7184
5.5207,0.5788
5.5204,0.5303
5.5202,0.4818
5.5199,0.4298
5.5196,0.3777
5.5193,0.3257
5.5191,0.2736
5.5188,0.2956
5.5185,0.3175
5.5182,0.3394
5.5180,0.3614
5.5177,0.3861
5.5174,0.4108
5.5171,0.4355
5.5169,0.4601
5.5166,0.4962
